Date,Open,High,Low,Close,Volume,Adj Close
2016-07-26,5.44,5.46,5.40,5.44,5483100,5.36
2016-07-25,5.51,5.53,5.47,5.47,3217300,5.38956
2016-07-22,5.50,5.54,5.44,5.50,6275000,5.41912
2016-07-21,5.52,5.62,5.52,5.58,2349000,5.49794
2016-07-20,5.61,5.63,5.57,5.60,4011600,5.51765
2016-07-19,5.58,5.63,5.52,5.56,2637600,5.47824
2016-07-18,5.62,5.65,5.58,5.60,3339300,5.51765
2016-07-15,5.68,5.69,5.60,5.62,7278200,5.53735
2016-07-14,5.58,5.63,5.58,5.59,1936800,5.50779
2016-07-13,5.63,5.67,5.56,5.57,6812400,5.48809
2016-07-12,5.55,5.57,5.46,5.57,4077200,5.48809
2016-07-11,5.55,5.55,5.51,5.52,3726800,5.43882
2016-07-08,5.55,5.55,5.43,5.48,3857200,5.39941
2016-07-07,5.52,5.58,5.49,5.58,2353100,5.49794
2016-07-06,5.55,5.55,5.55,5.55,000,5.46838
2016-07-05,5.55,5.59,5.53,5.55,2383700,5.46838
2016-07-04,5.55,5.63,5.54,5.57,5483200,5.48809
2016-07-01,5.50,5.53,5.46,5.51,3553900,5.42897
2016-06-30,5.60,5.60,5.42,5.50,9955600,5.41912
2016-06-29,5.33,5.42,5.33,5.41,4312100,5.33044
2016-06-28,5.22,5.38,5.22,5.30,4484700,5.22206
2016-06-27,5.25,5.37,5.22,5.28,4325200,5.20235
2016-06-24,5.46,5.46,5.28,5.30,10772300,5.22206
2016-06-23,5.47,5.49,5.43,5.45,3898700,5.36985
2016-06-22,5.48,5.52,5.43,5.43,3897700,5.35015
2016-06-21,5.55,5.56,5.42,5.44,3903100,5.36
2016-06-20,5.44,5.49,5.41,5.48,4649100,5.39941
2016-06-17,5.34,5.36,5.30,5.36,4641500,5.28118
2016-06-16,5.35,5.37,5.28,5.29,5588900,5.21221
2016-06-15,5.32,5.41,5.30,5.39,4344300,5.31074
2016-06-14,5.35,5.47,5.32,5.32,5480800,5.24176
2016-06-13,5.47,5.49,5.38,5.40,5831000,5.32059
2016-06-10,5.75,5.77,5.56,5.59,4499800,5.50779
2016-06-09,5.82,5.92,5.69,5.71,10632900,5.62603
2016-06-08,5.51,5.77,5.51,5.73,12582500,5.64574
2016-06-07,5.41,5.53,5.41,5.46,5918400,5.37971
2016-06-06,5.35,5.40,5.33,5.38,2638400,5.30088
2016-06-03,5.30,5.39,5.30,5.38,2385000,5.30088
2016-06-02,5.29,5.36,5.26,5.30,3064500,5.22206
2016-06-01,5.35,5.39,5.27,5.29,6498300,5.21221
2016-05-31,5.58,5.58,5.38,5.38,7921100,5.30088
2016-05-30,5.44,5.53,5.41,5.48,2802300,5.39941
2016-05-27,5.40,5.48,5.36,5.43,3828300,5.35015
2016-05-26,5.33,5.42,5.30,5.40,5663600,5.32059
2016-05-25,5.32,5.37,5.26,5.27,4471600,5.1925
2016-05-24,5.32,5.33,5.23,5.23,2525300,5.15309
2016-05-23,5.39,5.39,5.29,5.30,3382100,5.22206
2016-05-20,5.27,5.41,5.26,5.36,3455300,5.28118
2016-05-19,5.35,5.36,5.22,5.22,4505500,5.14324
2016-05-18,5.35,5.49,5.31,5.36,6047800,5.28118
2016-05-17,5.14,5.43,5.13,5.42,9635000,5.34029
2016-05-16,5.12,5.15,5.10,5.11,4148400,5.03485
2016-05-13,5.14,5.15,5.10,5.12,3482900,5.04471
2016-05-12,5.13,5.17,5.12,5.15,2947100,5.07426
2016-05-11,5.24,5.26,5.12,5.12,3644200,5.04471
2016-05-10,5.21,5.23,5.16,5.18,3642500,5.10382
2016-05-09,5.27,5.30,5.20,5.25,4445600,5.17279
